tolerance,threshold_ratio,min_length,gap_penalty,mismatch_score,match_score,auc
0.1,0.5,5,-2,-1,1,0.5037962962962963
0.1,0.5,5,-2,-1,2,0.5149867724867724
0.1,0.5,5,-2,-1,3,0.5275
0.1,0.5,5,-2,-2,1,0.6413492063492063
0.1,0.5,5,-2,-2,2,0.4974999999999999
0.1,0.5,5,-2,-2,3,0.5409259259259259
0.1,0.5,5,-2,-3,1,0.7094444444444444
0.1,0.5,5,-2,-3,2,0.5239550264550265
0.1,0.5,5,-2,-3,3,0.5116534391534392
0.1,0.5,5,-3,0,1,0.5899999999999999
0.1,0.5,5,-3,0,2,0.5915079365079365
0.1,0.5,5,-3,0,3,0.5917460317460318
0.1,0.5,5,-3,-1,1,0.5141005291005291
0.1,0.5,5,-3,-1,2,0.5005026455026456
0.1,0.5,5,-3,-1,3,0.49804232804232806
0.1,0.5,5,-3,-2,1,0.6507936507936508
0.1,0.5,5,-3,-2,2,0.48997354497354495
0.1,0.5,5,-3,-2,3,0.48537037037037045
0.1,0.5,5,-3,-3,1,0.6815079365079366
0.1,0.5,5,-3,-3,2,0.5653835978835979
0.1,0.5,5,-3,-3,3,0.4974999999999999
0.1,0.5,7,0,0,1,0.5906746031746033
0.1,0.5,7,0,0,2,0.5906746031746033
0.1,0.5,7,0,0,3,0.5906746031746033
0.1,0.5,7,0,-1,1,0.5611904761904761
0.1,0.5,7,0,-1,2,0.5611904761904761
0.1,0.5,7,0,-1,3,0.5611904761904761
0.1,0.5,7,0,-2,1,0.5611904761904761
0.1,0.5,7,0,-2,2,0.5611904761904761
0.1,0.5,7,0,-2,3,0.5611904761904761
0.1,0.5,7,0,-3,1,0.5611904761904761
0.1,0.5,7,0,-3,2,0.5611904761904761
0.1,0.5,7,0,-3,3,0.5611904761904761
0.1,0.5,7,-1,0,1,0.5895238095238095
0.1,0.5,7,-1,0,2,0.5962169312169312
0.1,0.5,7,-1,0,3,0.5937301587301587
0.1,0.5,7,-1,-1,1,0.5787037037037037
0.1,0.5,7,-1,-1,2,0.5597883597883598
0.1,0.5,7,-1,-1,3,0.5866931216931217
0.1,0.5,7,-1,-2,1,0.669510582010582
0.1,0.5,7,-1,-2,2,0.5287962962962962
0.1,0.5,7,-1,-2,3,0.5831878306878306
0.1,0.5,7,-1,-3,1,0.6728571428571429
0.1,0.5,7,-1,-3,2,0.5467989417989418
0.1,0.5,7,-1,-3,3,0.5441402116402116
0.1,0.5,7,-2,0,1,0.5910582010582011
0.1,0.5,7,-2,0,2,0.5895238095238095
0.1,0.5,7,-2,0,3,0.5927777777777778
0.1,0.5,7,-2,-1,1,0.6010978835978835
0.1,0.5,7,-2,-1,2,0.5490079365079366
0.1,0.5,7,-2,-1,3,0.5584920634920635
0.1,0.5,7,-2,-2,1,0.6644179894179895
0.1,0.5,7,-2,-2,2,0.5787037037037037
0.1,0.5,7,-2,-2,3,0.5883730158730159
0.1,0.5,7,-2,-3,1,0.6508201058201057
0.1,0.5,7,-2,-3,2,0.6285714285714287
0.1,0.5,7,-2,-3,3,0.5507671957671958
0.1,0.5,7,-3,0,1,0.5872883597883598
0.1,0.5,7,-3,0,2,0.5891931216931217
0.1,0.5,7,-3,0,3,0.5895238095238095
0.1,0.5,7,-3,-1,1,0.6010449735449735
0.1,0.5,7,-3,-1,2,0.5010185185185185
0.1,0.5,7,-3,-1,3,0.5317989417989418
0.1,0.5,7,-3,-2,1,0.6620899470899468
0.1,0.5,7,-3,-2,2,0.5816137566137566
0.1,0.5,7,-3,-2,3,0.5260846560846562
0.1,0.5,7,-3,-3,1,0.6439814814814815
0.1,0.5,7,-3,-3,2,0.666415343915344
0.1,0.5,7,-3,-3,3,0.5787037037037037
0.1,0.5,9,0,0,1,0.589021164021164
0.1,0.5,9,0,0,2,0.589021164021164
0.1,0.5,9,0,0,3,0.589021164021164
0.1,0.5,9,0,-1,1,0.5791402116402116
0.1,0.5,9,0,-1,2,0.5791402116402116
0.1,0.5,9,0,-1,3,0.5791402116402116
0.1,0.5,9,0,-2,1,0.5791402116402116
0.1,0.5,9,0,-2,2,0.5791402116402116
0.1,0.5,9,0,-2,3,0.5791402116402116
0.1,0.5,9,0,-3,1,0.5791402116402116
0.1,0.5,9,0,-3,2,0.5791402116402116
0.1,0.5,9,0,-3,3,0.5791402116402116
0.1,0.5,9,-1,0,1,0.5861243386243387
0.1,0.5,9,-1,0,2,0.5942857142857143
0.1,0.5,9,-1,0,3,0.5918121693121693
0.1,0.5,9,-1,-1,1,0.6171164021164021
0.1,0.5,9,-1,-1,2,0.5604629629629629
0.1,0.5,9,-1,-1,3,0.5850793650793651
0.1,0.5,9,-1,-2,1,0.6623677248677249
0.1,0.5,9,-1,-2,2,0.5618518518518519
0.1,0.5,9,-1,-2,3,0.5747486772486772
0.1,0.5,9,-1,-3,1,0.6809656084656084
0.1,0.5,9,-1,-3,2,0.5818650793650794
0.1,0.5,9,-1,-3,3,0.5733068783068784
0.1,0.5,9,-2,0,1,0.5876851851851852
0.1,0.5,9,-2,0,2,0.5861243386243387
0.1,0.5,9,-2,0,3,0.591031746031746
0.1,0.5,9,-2,-1,1,0.6716005291005291
0.1,0.5,9,-2,-1,2,0.5637301587301587
0.1,0.5,9,-2,-1,3,0.5678174603174603
0.1,0.5,9,-2,-2,1,0.6343386243386243
0.1,0.5,9,-2,-2,2,0.6171164021164021
0.1,0.5,9,-2,-2,3,0.552010582010582
0.1,0.5,9,-2,-3,1,0.6207407407407408
0.1,0.5,9,-2,-3,2,0.6877910052910052
0.1,0.5,9,-2,-3,3,0.5914153439153439
0.1,0.5,9,-3,0,1,0.5839682539682539
0.1,0.5,9,-3,0,2,0.5857804232804233
0.1,0.5,9,-3,0,3,0.5861243386243387
0.1,0.5,9,-3,-1,1,0.6683333333333334
0.1,0.5,9,-3,-1,2,0.5248544973544973
0.1,0.5,9,-3,-1,3,0.5694312169312169
0.1,0.5,9,-3,-2,1,0.6155158730158732
0.1,0.5,9,-3,-2,2,0.6381084656084657
0.1,0.5,9,-3,-2,3,0.5423148148148149
0.1,0.5,9,-3,-3,1,0.6065608465608465
0.1,0.5,9,-3,-3,2,0.6472354497354498
0.1,0.5,9,-3,-3,3,0.6171164021164021
0.1,0.5,11,0,0,1,0.5932142857142857
0.1,0.5,11,0,0,2,0.5932142857142857
0.1,0.5,11,0,0,3,0.5932142857142857
0.1,0.5,11,0,-1,1,0.5836772486772487
0.1,0.5,11,0,-1,2,0.5836772486772487
0.1,0.5,11,0,-1,3,0.5836772486772487
0.1,0.5,11,0,-2,1,0.5836772486772487
0.1,0.5,11,0,-2,2,0.5836772486772487
0.1,0.5,11,0,-2,3,0.5836772486772487
0.1,0.5,11,0,-3,1,0.5836772486772487
0.1,0.5,11,0,-3,2,0.5836772486772487
0.1,0.5,11,0,-3,3,0.5836772486772487
0.1,0.5,11,-1,0,1,0.5945767195767195
0.1,0.5,11,-1,0,2,0.6022354497354497
0.1,0.5,11,-1,0,3,0.5989550264550265
0.1,0.5,11,-1,-1,1,0.6272486772486774
0.1,0.5,11,-1,-1,2,0.5775132275132275
0.1,0.5,11,-1,-1,3,0.6002116402116403
0.1,0.5,11,-1,-2,1,0.6688095238095237
0.1,0.5,11,-1,-2,2,0.5719973544973544
0.1,0.5,11,-1,-2,3,0.5638756613756614
0.1,0.5,11,-1,-3,1,0.6736375661375662
0.1,0.5,11,-1,-3,2,0.6004629629629629
0.1,0.5,11,-1,-3,3,0.5737698412698413
0.1,0.5,11,-2,0,1,0.596111111111111
0.1,0.5,11,-2,0,2,0.5945767195767195
0.1,0.5,11,-2,0,3,0.5997089947089946
0.1,0.5,11,-2,-1,1,0.7049867724867726
0.1,0.5,11,-2,-1,2,0.5500661375661375
0.1,0.5,11,-2,-1,3,0.5505026455026456
0.1,0.5,11,-2,-2,1,0.5916798941798943
0.1,0.5,11,-2,-2,2,0.6272486772486774
0.1,0.5,11,-2,-2,3,0.5902248677248677
0.1,0.5,11,-2,-3,1,0.5857539682539683
0.1,0.5,11,-2,-3,2,0.6606349206349207
0.1,0.5,11,-2,-3,3,0.6188492063492063
0.1,0.5,11,-3,0,1,0.5923544973544973
